step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
168,158176,672,0.10246098642917946,0.5,0.9885057471264368
169,159172,676,0.17168377599603665,0.25,0.967741935483871
170,159784,680,0.17658164811174074,0.25,0.9565217391304348
171,160652,684,0.11145175157985182,0.75,0.9852941176470589
172,161072,688,0.10751914083732682,0.75,0.98
173,161812,692,0.15058040943734544,0.5,0.95
174,162808,696,0.1354404566459387,0.75,0.9710144927536232
175,163228,700,0.20770810978720666,0.5,0.8
176,163744,704,0.14113908044491308,0.25,0.9240506329113924
177,164932,708,0.10626947283074076,0.25,0.9690721649484536
178,165448,712,0.1522392276845011,0.75,0.9824561403508771
179,166508,716,0.14199772377534042,0.25,0.9724770642201835
180,167600,720,0.12544033855841757,0.75,0.9915254237288136
181,168468,724,0.12283266459991436,0.25,0.9508196721311475
182,169144,728,0.14911709285883687,0.5,0.9764705882352941
183,170044,732,0.10335411754322947,1.0,1.0
184,170592,736,0.1981595467128701,0.25,0.9523809523809523
185,171524,740,0.09583510702589532,0.75,0.9655172413793104
186,171976,744,0.1528329454593713,0.5,0.9473684210526315
187,173452,748,0.08778414908578044,0.75,0.9852941176470589
188,174256,752,0.14192726946454423,0.5,0.961038961038961
189,175380,756,0.12968123549747232,0.5,0.9310344827586207
190,176664,760,0.17590483991281194,0.25,0.9711538461538461
191,177692,764,0.1823941715885262,0.25,0.9464285714285714
192,178464,768,0.2067306254504094,0.75,0.9692307692307692
193,179140,772,0.14374673053326942,0.75,0.9787234042553191
194,180104,776,0.15100854420841614,0.25,0.9587628865979382
195,181292,780,0.1513628468402243,0.25,0.9493670886075949
196,182480,784,0.1526884613646197,0.25,0.9578947368421052
197,183252,788,0.13204995267265243,0.75,0.9922480620155039
198,184568,792,0.1692750957764649,0.5,0.967391304347826
199,185500,796,0.15202495459248908,0.75,0.9935064935064936
200,186272,800,0.12782611387128048,1.0,1.0
201,187044,804,0.14470203884508429,0.75,0.9824561403508771
202,187560,808,0.17038302569657038,0.5,0.9625
203,188556,812,0.11802292230417154,0.25,0.95
204,189424,816,0.1269691771382104,0.5,0.9811320754716981
205,190292,820,0.09126723467008525,1.0,1.0
206,191192,824,0.18355772327545064,0.5,0.9863945578231292
207,191996,828,0.16621193559865038,1.0,1.0
208,192576,832,0.14094735313687412,0.5,0.9680851063829787
209,193060,836,0.11855923960636519,0.75,0.9795918367346939
210,193640,840,0.17750467956188107,0.75,0.9855072463768116
211,194828,844,0.16174353972142427,0.25,0.9786096256684492
212,195984,848,0.11558202215830297,0.5,0.961038961038961
213,196628,852,0.17561423179555052,0.75,0.9761904761904762
214,197976,856,0.1585346622570784,0.25,0.970873786407767
215,198812,860,0.13729676491997,0.5,0.9830508474576272
216,200064,864,0.12214975906333678,0.25,0.9375
217,200836,868,0.12722754013229517,1.0,1.0
218,202440,872,0.08669897876219597,0.5,0.9722222222222222
219,202892,876,0.1565504563643679,0.75,0.9927536231884058
220,205104,880,0.09894735260856595,0.25,0.9642857142857143
221,206036,884,0.13749335413269909,0.75,0.9747899159663865
222,207704,888,0.13750053285429487,0.5,0.9523809523809523
223,208988,892,0.10056092183434724,0.5,0.9835164835164835
224,209664,896,0.15188609059972608,0.5,0.978021978021978
225,210916,900,0.12329768672863693,0.25,0.9711538461538461
226,211688,904,0.15727441598695155,0.25,0.9659090909090909
227,212204,908,0.19254239137307855,0.5,0.9454545454545454
228,213328,912,0.1530255170551329,0.0,0.9736842105263158
229,214612,916,0.16606805092334326,0.0,0.9550561797752809
230,215640,920,0.16186791117230406,0.25,0.9487179487179487
231,216668,924,0.1549750784872889,0.5,0.9583333333333334
232,217536,928,0.12665275218758018,0.25,0.9344262295081968
233,218532,932,0.1389468815355741,0.75,0.9942196531791907
234,219080,936,0.16468595273833342,1.0,1.0
235,220140,940,0.11971505227592963,0.25,0.9545454545454546
236,221296,944,0.1011467602921432,0.5,0.9555555555555556
237,222004,948,0.1604334849571666,0.5,0.9545454545454546
238,223320,952,0.1392177865948283,0.25,0.9782608695652174
239,224060,956,0.15548475786430352,0.5,0.9881656804733728
240,225248,960,0.12578939708143258,0.5,0.9772727272727273
241,225828,964,0.15339534064023327,0.5,0.9615384615384616
242,226952,968,0.12715329244185472,0.25,0.96
243,227660,972,0.16325575636865422,0.75,0.9894736842105263
244,228240,976,0.15150673732420594,0.75,0.9666666666666667
245,229332,980,0.1371376453911194,0.75,0.9629629629629629
246,230104,984,0.10850523483296216,0.0,0.9574468085106383
247,231868,988,0.13390138634798773,0.5,0.9634146341463414
248,232480,992,0.17243664621596788,0.75,0.9900990099009901
249,233252,996,0.15771340718750268,0.75,0.9827586206896551
250,233704,1000,0.1464073225191255,0.25,0.9344262295081968
251,234988,1004,0.1054510009850117,0.25,0.9130434782608695
252,235504,1008,0.17015501925985047,0.25,0.9365079365079365
253,236052,1012,0.15915011696313974,0.5,0.9444444444444444
254,237784,1016,0.09327504667255927,0.5,0.9777777777777777
255,238652,1020,0.12198768497154805,0.75,0.9846153846153847
256,239104,1024,0.13798818448269737,0.5,0.9375
257,240004,1028,0.1169842324598364,0.75,0.9809523809523809
258,240776,1032,0.08527541807357296,0.5,0.9811320754716981
259,241644,1036,0.12368228337839822,1.0,1.0
260,243312,1040,0.08750812186529794,0.25,0.9712230215827338
261,245076,1044,0.08974421585378886,0.5,0.976
262,245816,1048,0.21959091658699986,0.25,0.9629629629629629
263,247644,1052,0.097931576247625,0.5,0.9555555555555556
264,248320,1056,0.1543613589690994,0.25,0.9690721649484536
265,249284,1060,0.18325167168295925,0.75,0.9873417721518988
266,250184,1064,0.18079682292096827,0.25,0.9615384615384616
267,251340,1068,0.16709173641236444,0.25,0.8688524590163934
268,252688,1072,0.14395163437078085,0.5,0.9746835443037974
269,254292,1076,0.10466383465943511,0.5,0.984
270,255192,1080,0.15897066389719475,1.0,1.0
271,256348,1084,0.17233352651423153,0.25,0.9583333333333334
272,257472,1088,0.10540841275787143,0.25,0.9741379310344828
273,258788,1092,0.10227402755839984,0.25,0.9591836734693877
274,260360,1096,0.11453384047681532,0.25,0.9781021897810219
275,261036,1100,0.22920729895265024,0.25,0.967391304347826
276,261872,1104,0.13298639430790918,0.5,0.9620253164556962
277,262996,1108,0.1318457594887185,0.5,0.9702970297029703
278,264504,1112,0.09534650239340811,0.25,0.9696969696969697
279,266748,1116,0.10620009149940947,0.5,0.9722222222222222
280,267552,1120,0.14703984688682795,0.25,0.9642857142857143
281,268420,1124,0.12823478226218205,1.0,1.0
282,269512,1128,0.14388193247907705,0.25,0.9310344827586207
283,270764,1132,0.12846147314627773,0.0,0.8850574712643678
284,271792,1136,0.11318315335401302,0.75,0.9759036144578314
285,272596,1140,0.16281109434148305,0.75,0.9661016949152542
286,273400,1144,0.14781898303166532,0.5,0.9651162790697675
287,273948,1148,0.17488751049504087,0.25,0.9318181818181818
288,274560,1152,0.15946155838345466,0.25,0.9230769230769231
289,275108,1156,0.17525784133470587,0.5,0.9318181818181818
290,276296,1160,0.09652993030423573,0.5,0.9692307692307692
291,277004,1164,0.13407211475892886,0.75,0.9767441860465116
292,277840,1168,0.11163325733403705,0.75,0.9911504424778761
293,278356,1172,0.15720748872485546,0.5,0.96875
294,280376,1176,0.09940564360758175,0.5,0.96
295,281020,1180,0.11711874624564503,1.0,1.0
296,281728,1184,0.15726130198471255,0.75,0.9746835443037974
297,282340,1188,0.12248835570075212,0.5,0.9402985074626866
298,282824,1192,0.18972660177153652,1.0,1.0
299,283692,1196,0.133602728052352,0.5,0.9787234042553191
300,285584,1200,0.10467384202793466,0.75,0.9851851851851852
301,286356,1204,0.12812604101598277,0.75,0.9888888888888889
302,286776,1208,0.1867291331071055,0.25,0.9302325581395349
303,287708,1212,0.11882668833756074,0.75,0.9876543209876543
304,289120,1216,0.11391975537134655,0.75,0.9912280701754386
305,290116,1220,0.10377171909467406,0.75,0.9896907216494846
306,290952,1224,0.14949045404855846,0.25,0.9506172839506173
307,292268,1228,0.12277174371802994,0.25,0.9594594594594594
308,292944,1232,0.133932964694427,1.0,1.0
309,293492,1236,0.10623376831685925,0.5,0.967741935483871
310,294456,1240,0.14371478429602674,0.25,0.9605263157894737
311,295068,1244,0.1698667386517557,0.5,0.9879518072289156
312,296096,1248,0.10562530005002976,0.5,0.9423076923076923
313,296964,1252,0.12419689537403736,0.25,0.9571428571428572
314,297800,1256,0.14718624801944785,0.5,0.9552238805970149
315,298732,1260,0.13944387741315717,0.5,0.9904761904761905
316,300112,1264,0.11477212312699024,0.25,0.9705882352941176
317,300724,1268,0.15091162104467704,0.5,0.9722222222222222
318,302200,1272,0.12543182208115616,0.25,0.9571428571428572
319,303068,1276,0.16372443889660662,0.5,0.9777777777777777
320,303680,1280,0.21407413510590098,0.5,0.961038961038961
321,304868,1284,0.15234432784749824,0.25,0.9833333333333333
322,305544,1288,0.14347852431510946,0.25,0.9596774193548387
323,306284,1292,0.18096024976239572,0.25,0.9615384615384616
324,306736,1296,0.13436508944362982,0.5,0.9636363636363636
325,307508,1300,0.14277865607007767,0.25,0.9361702127659575
326,308056,1304,0.13513546820226444,0.25,0.9166666666666666
327,308572,1308,0.1717153768242336,0.25,0.9565217391304348
328,309024,1312,0.1655916411962555,0.5,0.9411764705882353
329,310532,1316,0.11011187555372835,0.25,0.9716981132075472
330,311368,1320,0.1213141673375901,0.25,0.95
331,312140,1324,0.11959587137565358,0.5,0.975609756097561
332,313008,1328,0.09574319231977249,0.0,0.9545454545454546
333,313780,1332,0.14791388314702134,0.5,0.979381443298969
334,314904,1336,0.15879727796522178,0.25,0.9795918367346939
335,316412,1340,0.12205681062210011,0.25,0.9324324324324325
336,319840,1344,0.08427195336830136,1.0,1.0
337,320548,1348,0.14434349315004577,0.5,0.9710144927536232
338,321288,1352,0.17130858127709095,0.25,0.9487179487179487
339,323532,1356,0.1111793123539286,0.5,0.9841269841269841
340,324432,1360,0.13037991074594915,0.25,0.9763779527559056
341,325364,1364,0.10413792339621146,0.5,0.971830985915493
342,326360,1368,0.10242519228195088,0.25,0.9090909090909091
343,327068,1372,0.19995415993472881,0.25,0.9491525423728814
344,328320,1376,0.09413835152939559,0.25,0.8970588235294118
345,328932,1380,0.14826589997575154,0.5,0.9733333333333334
346,330184,1384,0.13968141872200224,0.5,0.9779411764705882
347,331244,1388,0.1598657105329287,0.25,0.972972972972973
348,332560,1392,0.1370087534946734,0.25,0.9611650485436893
349,333652,1396,0.10665483184165835,0.5,0.9752066115702479
350,335128,1400,0.11150458408473908,0.5,0.9806451612903225
351,336220,1404,0.11251725748187455,0.25,0.95
352,336800,1408,0.13326524106156232,1.0,1.0
353,337700,1412,0.19424023641397037,0.25,0.9552238805970149
354,338728,1416,0.12004214477245084,0.5,0.9354838709677419
355,340556,1420,0.13929012524300574,0.25,0.9574468085106383
356,341552,1424,0.1084417557604539,0.5,0.9649122807017544
357,342580,1428,0.11852541736906194,0.25,0.9696969696969697
358,343416,1432,0.15327169208169872,0.0,0.9607843137254902
